Sl.no,Gender,Mood,Weather,Occasion,Output
24,Male,Mellow,Cloudy,Casual,A casual t-shirt with jeans and sneakers.
25,Male,Mellow,Rainy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
26,Male,Mellow,Rainy,Ethnic,A traditional kurta with churidar and a light waistcoat.
27,Male,Mellow,Rainy,Party,A stylish blazer over a patterned shirt and dark jeans.
28,Male,Mellow,Rainy,Casual,A casual t-shirt with jeans and sneakers.
29,Male,Mellow,Cool,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
30,Male,Mellow,Cool,Ethnic,A traditional kurta with churidar and a light waistcoat.
31,Male,Mellow,Cool,Party,A stylish blazer over a patterned shirt and dark jeans.
32,Male,Mellow,Cool,Casual,A casual t-shirt with jeans and sneakers.
33,Male,Droopy,Sunny,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
34,Male,Droopy,Sunny,Ethnic,A traditional kurta with churidar and a light waistcoat.
35,Male,Droopy,Sunny,Party,A stylish blazer over a patterned shirt and dark jeans.
36,Male,Droopy,Sunny,Casual,A casual t-shirt with jeans and sneakers.
37,Male,Droopy,Cloudy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
38,Male,Droopy,Cloudy,Ethnic,A traditional kurta with churidar and a light waistcoat.
39,Male,Droopy,Cloudy,Party,A stylish blazer over a patterned shirt and dark jeans.
40,Male,Droopy,Cloudy,Casual,A casual t-shirt with jeans and sneakers.
41,Male,Droopy,Rainy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
42,Male,Droopy,Rainy,Ethnic,A traditional kurta with churidar and a light waistcoat.
43,Male,Droopy,Rainy,Party,A stylish blazer over a patterned shirt and dark jeans.
44,Male,Droopy,Rainy,Casual,A casual t-shirt with jeans and sneakers.
45,Male,Droopy,Cool,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
46,Male,Droopy,Cool,Ethnic,A traditional kurta with churidar and a light waistcoat.
47,Male,Droopy,Cool,Party,A stylish blazer over a patterned shirt and dark jeans.
48,Male,Droopy,Cool,Casual,A casual t-shirt with jeans and sneakers.
49,Male,Sad,Sunny,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
50,Male,Sad,Sunny,Ethnic,A traditional kurta with churidar and a light waistcoat.
51,Male,Sad,Sunny,Party,A stylish blazer over a patterned shirt and dark jeans.
52,Male,Sad,Sunny,Casual,A casual t-shirt with jeans and sneakers.
53,Male,Sad,Cloudy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
54,Male,Sad,Cloudy,Ethnic,A traditional kurta with churidar and a light waistcoat.
55,Male,Sad,Cloudy,Party,A stylish blazer over a patterned shirt and dark jeans.
56,Male,Sad,Cloudy,Casual,A casual t-shirt with jeans and sneakers.
57,Male,Sad,Rainy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
58,Male,Sad,Rainy,Ethnic,A traditional kurta with churidar and a light waistcoat.
59,Male,Sad,Rainy,Party,A stylish blazer over a patterned shirt and dark jeans.
60,Male,Sad,Rainy,Casual,A casual t-shirt with jeans and sneakers.
61,Male,Sad,Cool,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
62,Male,Sad,Cool,Ethnic,A traditional kurta with churidar and a light waistcoat.
63,Male,Sad,Cool,Party,A stylish blazer over a patterned shirt and dark jeans.
64,Male,Sad,Cool,Casual,A casual t-shirt with jeans and sneakers.
65,Female,Excited,Sunny,Formal,A tailored pantsuit or a formal dress with heels.
66,Female,Excited,Sunny,Ethnic,A saree or a lehenga with elegant jewelry.
67,Female,Excited,Sunny,Party,A cocktail dress with stylish accessories.
68,Female,Excited,Sunny,Casual,A casual blouse with jeans and flats.
69,Female,Excited,Cloudy,Formal,A tailored pantsuit or a formal dress with heels.
70,Female,Excited,Cloudy,Ethnic,A saree or a lehenga with elegant jewelry.
71,Female,Excited,Cloudy,Party,A cocktail dress with stylish accessories.
72,Female,Excited,Cloudy,Casual,A casual blouse with jeans and flats.
73,Female,Excited,Rainy,Formal,A tailored pantsuit or a formal dress with heels.
74,Female,Excited,Rainy,Ethnic,A saree or a lehenga with elegant jewelry.
75,Female,Excited,Rainy,Party,A cocktail dress with stylish accessories.
76,Female,Excited,Rainy,Casual,A casual blouse with jeans and flats.
77,Female,Excited,Cool,Formal,A tailored pantsuit or a formal dress with heels.
78,Female,Excited,Cool,Ethnic,A saree or a lehenga with elegant jewelry.
79,Female,Excited,Cool,Party,A cocktail dress with stylish accessories.
80,Female,Excited,Cool,Casual,A casual blouse with jeans and flats.
81,Female,Mellow,Sunny,Formal,A tailored pantsuit or a formal dress with heels.
82,Female,Mellow,Sunny,Ethnic,A saree or a lehenga with elegant jewelry.
83,Female,Mellow,Sunny,Party,A cocktail dress with stylish accessories.
84,Female,Mellow,Sunny,Casual,A casual blouse with jeans and flats.
85,Female,Mellow,Cloudy,Formal,A tailored pantsuit or a formal dress with heels.
86,Female,Mellow,Cloudy,Ethnic,A saree or a lehenga with elegant jewelry.
87,Female,Mellow,Cloudy,Party,A cocktail dress with stylish accessories.
88,Female,Mellow,Cloudy,Casual,A casual blouse with jeans and flats.
89,Female,Mellow,Rainy,Formal,A tailored pantsuit or a formal dress with heels.
90,Female,Mellow,Rainy,Ethnic,A saree or a lehenga with elegant jewelry.
91,Female,Mellow,Rainy,Party,A cocktail dress with stylish accessories.
92,Female,Mellow,Rainy,Casual,A casual blouse with jeans and flats.
93,Female,Mellow,Cool,Formal,A tailored pantsuit or a formal dress with heels.
94,Female,Mellow,Cool,Ethnic,A saree or a lehenga with elegant jewelry.
95,Female,Mellow,Cool,Party,A cocktail dress with stylish accessories.
96,Female,Mellow,Cool,Casual,A casual blouse with jeans and flats.
97,Female,Droopy,Sunny,Formal,A tailored pantsuit or a formal dress with heels.
98,Female,Droopy,Sunny,Ethnic,A saree or a lehenga with elegant jewelry.
99,Female,Droopy,Sunny,Party,A cocktail dress with stylish accessories.
100,Female,Droopy,Sunny,Casual,A casual blouse with jeans and flats.
101,Female,Droopy,Cloudy,Formal,A tailored pantsuit or a formal dress with heels.
102,Female,Droopy,Cloudy,Ethnic,A saree or a lehenga with elegant jewelry.
103,Female,Droopy,Cloudy,Party,A cocktail dress with stylish accessories.
104,Female,Droopy,Cloudy,Casual,A casual blouse with jeans and flats.
105,Female,Droopy,Rainy,Formal,A tailored pantsuit or a formal dress with heels.
106,Female,Droopy,Rainy,Ethnic,A saree or a lehenga with elegant jewelry.
107,Female,Droopy,Rainy,Party,A cocktail dress with stylish accessories.
108,Female,Droopy,Rainy,Casual,A casual blouse with jeans and flats.
109,Female,Droopy,Cool,Formal,A tailored pantsuit or a formal dress with heels.
110,Female,Droopy,Cool,Ethnic,A saree or a lehenga with elegant jewelry.
111,Female,Droopy,Cool,Party,A cocktail dress with stylish accessories.
112,Female,Droopy,Cool,Casual,A casual blouse with jeans and flats.
113,Female,Sad,Sunny,Formal,A tailored pantsuit or a formal dress with heels.
114,Female,Sad,Sunny,Ethnic,A saree or a lehenga with elegant jewelry.
115,Female,Sad,Sunny,Party,A cocktail dress with stylish accessories.
116,Female,Sad,Sunny,Casual,A casual blouse with jeans and flats.
117,Female,Sad,Cloudy,Formal,A tailored pantsuit or a formal dress with heels.
118,Female,Sad,Cloudy,Ethnic,A saree or a lehenga with elegant jewelry.
119,Female,Sad,Cloudy,Party,A cocktail dress with stylish accessories.
120,Female,Sad,Cloudy,Casual,A casual blouse with jeans and flats.
121,Female,Sad,Rainy,Formal,A tailored pantsuit or a formal dress with heels.
122,Female,Sad,Rainy,Ethnic,A saree or a lehenga with elegant jewelry.
123,Female,Sad,Rainy,Party,A cocktail dress with stylish accessories.
124,Female,Sad,Rainy,Casual,A casual blouse with jeans and flats.
125,Female,Sad,Cool,Formal,A tailored pantsuit or a formal dress with heels.
126,Female,Sad,Cool,Ethnic,A saree or a lehenga with elegant jewelry.
127,Female,Sad,Cool,Party,A cocktail dress with stylish accessories.
128,Female,Sad,Cool,Casual,A casual blouse with jeans and flats.
129,Others,Excited,Sunny,Formal,Default outfit description.
130,Others,Excited,Sunny,Ethnic,Default outfit description.
131,Others,Excited,Sunny,Party,Default outfit description.
132,Others,Excited,Sunny,Casual,Default outfit description.
133,Others,Excited,Cloudy,Formal,Default outfit description.
134,Others,Excited,Cloudy,Ethnic,Default outfit description.
135,Others,Excited,Cloudy,Party,Default outfit description.
136,Others,Excited,Cloudy,Casual,Default outfit description.
137,Others,Excited,Rainy,Formal,Default outfit description.
138,Others,Excited,Rainy,Ethnic,Default outfit description.
139,Others,Excited,Rainy,Party,Default outfit description.
140,Others,Excited,Rainy,Casual,Default outfit description.
141,Others,Excited,Cool,Formal,Default outfit description.
142,Others,Excited,Cool,Ethnic,Default outfit description.
143,Others,Excited,Cool,Party,Default outfit description.
144,Others,Excited,Cool,Casual,Default outfit description.
145,Others,Mellow,Sunny,Formal,Default outfit description.
146,Others,Mellow,Sunny,Ethnic,Default outfit description.
147,Others,Mellow,Sunny,Party,Default outfit description.
148,Others,Mellow,Sunny,Casual,Default outfit description.
149,Others,Mellow,Cloudy,Formal,Default outfit description.
150,Others,Mellow,Cloudy,Ethnic,Default outfit description.
151,Others,Mellow,Cloudy,Party,Default outfit description.
152,Others,Mellow,Cloudy,Casual,Default outfit description.
153,Others,Mellow,Rainy,Formal,Default outfit description.
154,Others,Mellow,Rainy,Ethnic,Default outfit description.
155,Others,Mellow,Rainy,Party,Default outfit description.
156,Others,Mellow,Rainy,Casual,Default outfit description.
157,Others,Mellow,Cool,Formal,Default outfit description.
158,Others,Mellow,Cool,Ethnic,Default outfit description.
159,Others,Mellow,Cool,Party,Default outfit description.
160,Others,Mellow,Cool,Casual,Default outfit description.
161,Others,Droopy,Sunny,Formal,Default outfit description.
162,Others,Droopy,Sunny,Ethnic,Default outfit description.
163,Others,Droopy,Sunny,Party,Default outfit description.
164,Others,Droopy,Sunny,Casual,Default outfit description.
165,Others,Droopy,Cloudy,Formal,Default outfit description.
166,Others,Droopy,Cloudy,Ethnic,Default outfit description.
167,Others,Droopy,Cloudy,Party,Default outfit description.
168,Others,Droopy,Cloudy,Casual,Default outfit description.
169,Others,Droopy,Rainy,Formal,Default outfit description.
170,Others,Droopy,Rainy,Ethnic,Default outfit description.
171,Others,Droopy,Rainy,Party,Default outfit description.
172,Others,Droopy,Rainy,Casual,Default outfit description.
173,Others,Droopy,Cool,Formal,Default outfit description.
174,Others,Droopy,Cool,Ethnic,Default outfit description.
175,Others,Droopy,Cool,Party,Default outfit description.
176,Others,Droopy,Cool,Casual,Default outfit description.
177,Others,Sad,Sunny,Formal,Default outfit description.
178,Others,Sad,Sunny,Ethnic,Default outfit description.
179,Others,Sad,Sunny,Party,Default outfit description.
180,Others,Sad,Sunny,Casual,Default outfit description.
181,Others,Sad,Cloudy,Formal,Default outfit description.
182,Others,Sad,Cloudy,Ethnic,Default outfit description.
183,Others,Sad,Cloudy,Party,Default outfit description.
184,Others,Sad,Cloudy,Casual,Default outfit description.
185,Others,Sad,Rainy,Formal,Default outfit description.
186,Others,Sad,Rainy,Ethnic,Default outfit description.
187,Others,Sad,Rainy,Party,Default outfit description.
188,Others,Sad,Rainy,Casual,Default outfit description.
189,Others,Sad,Cool,Formal,Default outfit description.
190,Others,Sad,Cool,Ethnic,Default outfit description.
191,Others,Sad,Cool,Party,Default outfit description.
192,Others,Sad,Cool,Casual,Default outfit description.
193,Male,Excited,Sunny,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
194,Male,Excited,Sunny,Ethnic,A traditional kurta with churidar and a light waistcoat.
195,Male,Excited,Sunny,Party,A stylish blazer over a patterned shirt and dark jeans.
196,Male,Excited,Sunny,Casual,A casual t-shirt with jeans and sneakers.
197,Male,Excited,Cloudy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
198,Male,Excited,Cloudy,Ethnic,A traditional kurta with churidar and a light waistcoat.
199,Male,Excited,Cloudy,Party,A stylish blazer over a patterned shirt and dark jeans.
200,Male,Excited,Cloudy,Casual,A casual t-shirt with jeans and sneakers.
201,Male,Excited,Rainy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
202,Male,Excited,Rainy,Ethnic,A traditional kurta with churidar and a light waistcoat.
203,Male,Excited,Rainy,Party,A stylish blazer over a patterned shirt and dark jeans.
204,Male,Excited,Rainy,Casual,A casual t-shirt with jeans and sneakers.
205,Male,Excited,Cool,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
206,Male,Excited,Cool,Ethnic,A traditional kurta with churidar and a light waistcoat.
207,Male,Excited,Cool,Party,A stylish blazer over a patterned shirt and dark jeans.
208,Male,Excited,Cool,Casual,A casual t-shirt with jeans and sneakers.
209,Male,Mellow,Sunny,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
210,Male,Mellow,Sunny,Ethnic,A traditional kurta with churidar and a light waistcoat.
211,Male,Mellow,Sunny,Party,A stylish blazer over a patterned shirt and dark jeans.
212,Male,Mellow,Sunny,Casual,A casual t-shirt with jeans and sneakers.
213,Male,Mellow,Cloudy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
214,Male,Mellow,Cloudy,Ethnic,A traditional kurta with churidar and a light waistcoat.
215,Male,Mellow,Cloudy,Party,A stylish blazer over a patterned shirt and dark jeans.
216,Male,Mellow,Cloudy,Casual,A casual t-shirt with jeans and sneakers.
217,Male,Mellow,Rainy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
218,Male,Mellow,Rainy,Ethnic,A traditional kurta with churidar and a light waistcoat.
219,Male,Mellow,Rainy,Party,A stylish blazer over a patterned shirt and dark jeans.
220,Male,Mellow,Rainy,Casual,A casual t-shirt with jeans and sneakers.
221,Male,Mellow,Cool,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
222,Male,Mellow,Cool,Ethnic,A traditional kurta with churidar and a light waistcoat.
223,Male,Mellow,Cool,Party,A stylish blazer over a patterned shirt and dark jeans.
224,Male,Mellow,Cool,Casual,A casual t-shirt with jeans and sneakers.
225,Male,Droopy,Sunny,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
226,Male,Droopy,Sunny,Ethnic,A traditional kurta with churidar and a light waistcoat.
227,Male,Droopy,Sunny,Party,A stylish blazer over a patterned shirt and dark jeans.
228,Male,Droopy,Sunny,Casual,A casual t-shirt with jeans and sneakers.
229,Male,Droopy,Cloudy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
230,Male,Droopy,Cloudy,Ethnic,A traditional kurta with churidar and a light waistcoat.
231,Male,Droopy,Cloudy,Party,A stylish blazer over a patterned shirt and dark jeans.
232,Male,Droopy,Cloudy,Casual,A casual t-shirt with jeans and sneakers.
233,Male,Droopy,Rainy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
234,Male,Droopy,Rainy,Ethnic,A traditional kurta with churidar and a light waistcoat.
235,Male,Droopy,Rainy,Party,A stylish blazer over a patterned shirt and dark jeans.
236,Male,Droopy,Rainy,Casual,A casual t-shirt with jeans and sneakers.
237,Male,Droopy,Cool,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
238,Male,Droopy,Cool,Ethnic,A traditional kurta with churidar and a light waistcoat.
239,Male,Droopy,Cool,Party,A stylish blazer over a patterned shirt and dark jeans.
240,Male,Droopy,Cool,Casual,A casual t-shirt with jeans and sneakers.
241,Male,Sad,Sunny,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
242,Male,Sad,Sunny,Ethnic,A traditional kurta with churidar and a light waistcoat.
243,Male,Sad,Sunny,Party,A stylish blazer over a patterned shirt and dark jeans.
244,Male,Sad,Sunny,Casual,A casual t-shirt with jeans and sneakers.
245,Male,Sad,Cloudy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
246,Male,Sad,Cloudy,Ethnic,A traditional kurta with churidar and a light waistcoat.
247,Male,Sad,Cloudy,Party,A stylish blazer over a patterned shirt and dark jeans.
248,Male,Sad,Cloudy,Casual,A casual t-shirt with jeans and sneakers.
249,Male,Sad,Rainy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
250,Male,Sad,Rainy,Ethnic,A traditional kurta with churidar and a light waistcoat.
251,Male,Sad,Rainy,Party,A stylish blazer over a patterned shirt and dark jeans.
252,Male,Sad,Rainy,Casual,A casual t-shirt with jeans and sneakers.
253,Male,Sad,Cool,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
254,Male,Sad,Cool,Ethnic,A traditional kurta with churidar and a light waistcoat.
255,Male,Sad,Cool,Party,A stylish blazer over a patterned shirt and dark jeans.
256,Male,Sad,Cool,Casual,A casual t-shirt with jeans and sneakers.
257,Female,Excited,Sunny,Formal,A tailored pantsuit or a formal dress with heels.
258,Female,Excited,Sunny,Ethnic,A saree or a lehenga with elegant jewelry.
259,Female,Excited,Sunny,Party,A cocktail dress with stylish accessories.
260,Female,Excited,Sunny,Casual,A casual blouse with jeans and flats.
261,Female,Excited,Cloudy,Formal,A tailored pantsuit or a formal dress with heels.
262,Female,Excited,Cloudy,Ethnic,A saree or a lehenga with elegant jewelry.
263,Female,Excited,Cloudy,Party,A cocktail dress with stylish accessories.
264,Female,Excited,Cloudy,Casual,A casual blouse with jeans and flats.
265,Female,Excited,Rainy,Formal,A tailored pantsuit or a formal dress with heels.
266,Female,Excited,Rainy,Ethnic,A saree or a lehenga with elegant jewelry.
267,Female,Excited,Rainy,Party,A cocktail dress with stylish accessories.
268,Female,Excited,Rainy,Casual,A casual blouse with jeans and flats.
269,Female,Excited,Cool,Formal,A tailored pantsuit or a formal dress with heels.
270,Female,Excited,Cool,Ethnic,A saree or a lehenga with elegant jewelry.
271,Female,Excited,Cool,Party,A cocktail dress with stylish accessories.
272,Female,Excited,Cool,Casual,A casual blouse with jeans and flats.
273,Female,Mellow,Sunny,Formal,A tailored pantsuit or a formal dress with heels.
274,Female,Mellow,Sunny,Ethnic,A saree or a lehenga with elegant jewelry.
275,Female,Mellow,Sunny,Party,A cocktail dress with stylish accessories.
276,Female,Mellow,Sunny,Casual,A casual blouse with jeans and flats.
277,Female,Mellow,Cloudy,Formal,A tailored pantsuit or a formal dress with heels.
278,Female,Mellow,Cloudy,Ethnic,A saree or a lehenga with elegant jewelry.
279,Female,Mellow,Cloudy,Party,A cocktail dress with stylish accessories.
280,Female,Mellow,Cloudy,Casual,A casual blouse with jeans and flats.
281,Female,Mellow,Rainy,Formal,A tailored pantsuit or a formal dress with heels.
282,Female,Mellow,Rainy,Ethnic,A saree or a lehenga with elegant jewelry.
283,Female,Mellow,Rainy,Party,A cocktail dress with stylish accessories.
284,Female,Mellow,Rainy,Casual,A casual blouse with jeans and flats.
285,Female,Mellow,Cool,Formal,A tailored pantsuit or a formal dress with heels.
286,Female,Mellow,Cool,Ethnic,A saree or a lehenga with elegant jewelry.
287,Female,Mellow,Cool,Party,A cocktail dress with stylish accessories.
288,Female,Mellow,Cool,Casual,A casual blouse with jeans and flats.
289,Female,Droopy,Sunny,Formal,A tailored pantsuit or a formal dress with heels.
290,Female,Droopy,Sunny,Ethnic,A saree or a lehenga with elegant jewelry.
291,Female,Droopy,Sunny,Party,A cocktail dress with stylish accessories.
292,Female,Droopy,Sunny,Casual,A casual blouse with jeans and flats.
293,Female,Droopy,Cloudy,Formal,A tailored pantsuit or a formal dress with heels.
294,Female,Droopy,Cloudy,Ethnic,A saree or a lehenga with elegant jewelry.
295,Female,Droopy,Cloudy,Party,A cocktail dress with stylish accessories.
296,Female,Droopy,Cloudy,Casual,A casual blouse with jeans and flats.
297,Female,Droopy,Rainy,Formal,A tailored pantsuit or a formal dress with heels.
298,Female,Droopy,Rainy,Ethnic,A saree or a lehenga with elegant jewelry.
299,Female,Droopy,Rainy,Party,A cocktail dress with stylish accessories.
300,Female,Droopy,Rainy,Casual,A casual blouse with jeans and flats.
301,Female,Droopy,Cool,Formal,A tailored pantsuit or a formal dress with heels.
302,Female,Droopy,Cool,Ethnic,A saree or a lehenga with elegant jewelry.
303,Female,Droopy,Cool,Party,A cocktail dress with stylish accessories.
304,Female,Droopy,Cool,Casual,A casual blouse with jeans and flats.
305,Female,Sad,Sunny,Formal,A tailored pantsuit or a formal dress with heels.
306,Female,Sad,Sunny,Ethnic,A saree or a lehenga with elegant jewelry.
307,Female,Sad,Sunny,Party,A cocktail dress with stylish accessories.
308,Female,Sad,Sunny,Casual,A casual blouse with jeans and flats.
309,Female,Sad,Cloudy,Formal,A tailored pantsuit or a formal dress with heels.
310,Female,Sad,Cloudy,Ethnic,A saree or a lehenga with elegant jewelry.
311,Female,Sad,Cloudy,Party,A cocktail dress with stylish accessories.
312,Female,Sad,Cloudy,Casual,A casual blouse with jeans and flats.
313,Female,Sad,Rainy,Formal,A tailored pantsuit or a formal dress with heels.
314,Female,Sad,Rainy,Ethnic,A saree or a lehenga with elegant jewelry.
315,Female,Sad,Rainy,Party,A cocktail dress with stylish accessories.
316,Female,Sad,Rainy,Casual,A casual blouse with jeans and flats.
317,Female,Sad,Cool,Formal,A tailored pantsuit or a formal dress with heels.
318,Female,Sad,Cool,Ethnic,A saree or a lehenga with elegant jewelry.
319,Female,Sad,Cool,Party,A cocktail dress with stylish accessories.
320,Female,Sad,Cool,Casual,A casual blouse with jeans and flats.
321,Others,Excited,Sunny,Formal,Default outfit description.
322,Others,Excited,Sunny,Ethnic,Default outfit description.
323,Others,Excited,Sunny,Party,Default outfit description.
324,Others,Excited,Sunny,Casual,Default outfit description.
325,Others,Excited,Cloudy,Formal,Default outfit description.
326,Others,Excited,Cloudy,Ethnic,Default outfit description.
327,Others,Excited,Cloudy,Party,Default outfit description.
328,Others,Excited,Cloudy,Casual,Default outfit description.
329,Others,Excited,Rainy,Formal,Default outfit description.
330,Others,Excited,Rainy,Ethnic,Default outfit description.
331,Others,Excited,Rainy,Party,Default outfit description.
332,Others,Excited,Rainy,Casual,Default outfit description.
333,Others,Excited,Cool,Formal,Default outfit description.
334,Others,Excited,Cool,Ethnic,Default outfit description.
335,Others,Excited,Cool,Party,Default outfit description.
336,Others,Excited,Cool,Casual,Default outfit description.
337,Others,Mellow,Sunny,Formal,Default outfit description.
338,Others,Mellow,Sunny,Ethnic,Default outfit description.
339,Others,Mellow,Sunny,Party,Default outfit description.
340,Others,Mellow,Sunny,Casual,Default outfit description.
341,Others,Mellow,Cloudy,Formal,Default outfit description.
342,Others,Mellow,Cloudy,Ethnic,Default outfit description.
343,Others,Mellow,Cloudy,Party,Default outfit description.
344,Others,Mellow,Cloudy,Casual,Default outfit description.
345,Others,Mellow,Rainy,Formal,Default outfit description.
346,Others,Mellow,Rainy,Ethnic,Default outfit description.
347,Others,Mellow,Rainy,Party,Default outfit description.
348,Others,Mellow,Rainy,Casual,Default outfit description.
349,Others,Mellow,Cool,Formal,Default outfit description.
350,Others,Mellow,Cool,Ethnic,Default outfit description.
351,Others,Mellow,Cool,Party,Default outfit description.
352,Others,Mellow,Cool,Casual,Default outfit description.
353,Others,Droopy,Sunny,Formal,Default outfit description.
354,Others,Droopy,Sunny,Ethnic,Default outfit description.
355,Others,Droopy,Sunny,Party,Default outfit description.
356,Others,Droopy,Sunny,Casual,Default outfit description.
357,Others,Droopy,Cloudy,Formal,Default outfit description.
358,Others,Droopy,Cloudy,Ethnic,Default outfit description.
359,Others,Droopy,Cloudy,Party,Default outfit description.
360,Others,Droopy,Cloudy,Casual,Default outfit description.
361,Others,Droopy,Rainy,Formal,Default outfit description.
362,Others,Droopy,Rainy,Ethnic,Default outfit description.
363,Others,Droopy,Rainy,Party,Default outfit description.
364,Others,Droopy,Rainy,Casual,Default outfit description.
365,Others,Droopy,Cool,Formal,Default outfit description.
366,Others,Droopy,Cool,Ethnic,Default outfit description.
367,Others,Droopy,Cool,Party,Default outfit description.
368,Others,Droopy,Cool,Casual,Default outfit description.
369,Others,Sad,Sunny,Formal,Default outfit description.
370,Others,Sad,Sunny,Ethnic,Default outfit description.
371,Others,Sad,Sunny,Party,Default outfit description.
372,Others,Sad,Sunny,Casual,Default outfit description.
373,Others,Sad,Cloudy,Formal,Default outfit description.
374,Others,Sad,Cloudy,Ethnic,Default outfit description.
375,Others,Sad,Cloudy,Party,Default outfit description.
376,Others,Sad,Cloudy,Casual,Default outfit description.
377,Others,Sad,Rainy,Formal,Default outfit description.
378,Others,Sad,Rainy,Ethnic,Default outfit description.
379,Others,Sad,Rainy,Party,Default outfit description.
380,Others,Sad,Rainy,Casual,Default outfit description.
381,Others,Sad,Cool,Formal,Default outfit description.
382,Others,Sad,Cool,Ethnic,Default outfit description.
383,Others,Sad,Cool,Party,Default outfit description.
384,Others,Sad,Cool,Casual,Default outfit description.
385,Male,Excited,Sunny,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
386,Male,Excited,Sunny,Ethnic,A traditional kurta with churidar and a light waistcoat.
387,Male,Excited,Sunny,Party,A stylish blazer over a patterned shirt and dark jeans.
388,Male,Excited,Sunny,Casual,A casual t-shirt with jeans and sneakers.
389,Male,Excited,Cloudy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
390,Male,Excited,Cloudy,Ethnic,A traditional kurta with churidar and a light waistcoat.
391,Male,Excited,Cloudy,Party,A stylish blazer over a patterned shirt and dark jeans.
392,Male,Excited,Cloudy,Casual,A casual t-shirt with jeans and sneakers.
393,Male,Excited,Rainy,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
394,Male,Excited,Rainy,Ethnic,A traditional kurta with churidar and a light waistcoat.
395,Male,Excited,Rainy,Party,A stylish blazer over a patterned shirt and dark jeans.
396,Male,Excited,Rainy,Casual,A casual t-shirt with jeans and sneakers.
397,Male,Excited,Cool,Formal,"A western suit without a tie, white shirt beneath, and brown formal pants."
